kernel,C,min,mean,max
linear,1e-05,1.0,1.0,1.0
linear,0.0001,1.0,1.0,1.0
linear,0.001,1.0,1.0,1.0
linear,0.01,1.0,1.0,1.0
linear,0.1,1.0,1.0,1.0
linear,1.0,1.0,1.0,1.0
linear,10.0,1.0,1.0,1.0
linear,100.0,1.0,1.0,1.0
linear,1000.0,1.0,1.0,1.0
linear,10000.0,1.0,1.0,1.0
poly,1e-05,0.8125,0.8696428571428572,0.9375
poly,0.0001,1.0,1.0,1.0
poly,0.001,1.0,1.0,1.0
poly,0.01,1.0,1.0,1.0
poly,0.1,1.0,1.0,1.0
poly,1.0,1.0,1.0,1.0
poly,10.0,1.0,1.0,1.0
poly,100.0,1.0,1.0,1.0
poly,1000.0,1.0,1.0,1.0
poly,10000.0,1.0,1.0,1.0
rbf,1e-05,0.5714285714285714,0.6428571428571428,0.6875
rbf,0.0001,0.5714285714285714,0.6428571428571428,0.6875
rbf,0.001,0.5714285714285714,0.6428571428571428,0.6875
rbf,0.01,0.5714285714285714,0.6428571428571428,0.6875
rbf,0.1,0.5714285714285714,0.6428571428571428,0.6875
rbf,1.0,0.8571428571428571,0.9589285714285714,1.0
rbf,10.0,0.8571428571428571,0.9589285714285714,1.0
rbf,100.0,0.8571428571428571,0.9589285714285714,1.0
rbf,1000.0,0.8571428571428571,0.9589285714285714,1.0
rbf,10000.0,0.8571428571428571,0.9589285714285714,1.0
