kernel,C,min,mean,max
linear,1e-05,0.7142857142857143,0.7767857142857143,0.8571428571428571
linear,0.0001,0.8125,0.8473214285714284,0.90625
linear,0.001,0.8214285714285714,0.8607142857142858,0.90625
linear,0.01,0.8214285714285714,0.8607142857142858,0.90625
linear,0.1,0.8214285714285714,0.8607142857142858,0.90625
linear,1.0,0.8214285714285714,0.8607142857142858,0.90625
linear,10.0,0.8214285714285714,0.8607142857142858,0.90625
linear,100.0,0.8214285714285714,0.8607142857142858,0.90625
linear,1000.0,0.8214285714285714,0.8607142857142858,0.90625
linear,10000.0,0.8214285714285714,0.8607142857142858,0.90625
poly,1e-05,0.78125,0.8294642857142858,0.875
poly,0.0001,0.78125,0.8294642857142858,0.875
poly,0.001,0.8571428571428571,0.89375,0.9375
poly,0.01,0.84375,0.89375,0.9375
poly,0.1,0.84375,0.89375,0.9375
poly,1.0,0.84375,0.89375,0.9375
poly,10.0,0.84375,0.89375,0.9375
poly,100.0,0.84375,0.89375,0.9375
poly,1000.0,0.84375,0.89375,0.9375
poly,10000.0,0.84375,0.89375,0.9375
rbf,1e-05,0.75,0.8196428571428571,0.9375
rbf,0.0001,0.75,0.8196428571428571,0.9375
rbf,0.001,0.75,0.8196428571428571,0.9375
rbf,0.01,0.75,0.8196428571428571,0.9375
rbf,0.1,0.75,0.8196428571428571,0.9375
rbf,1.0,0.8125,0.8678571428571429,0.9375
rbf,10.0,0.8214285714285714,0.8803571428571428,0.9375
rbf,100.0,0.8214285714285714,0.8803571428571428,0.9375
rbf,1000.0,0.8214285714285714,0.8803571428571428,0.9375
rbf,10000.0,0.8214285714285714,0.8803571428571428,0.9375
