kernel,C,min,mean,max
linear,1e-05,0.8333333333333334,0.9041666666666666,1.0
linear,0.0001,1.0,1.0,1.0
linear,0.001,1.0,1.0,1.0
linear,0.01,1.0,1.0,1.0
linear,0.1,1.0,1.0,1.0
linear,1.0,1.0,1.0,1.0
linear,10.0,1.0,1.0,1.0
linear,100.0,1.0,1.0,1.0
linear,1000.0,1.0,1.0,1.0
linear,10000.0,1.0,1.0,1.0
poly,1e-05,0.8125,0.9041666666666666,1.0
poly,0.0001,0.8333333333333334,0.9166666666666666,1.0
poly,0.001,1.0,1.0,1.0
poly,0.01,1.0,1.0,1.0
poly,0.1,1.0,1.0,1.0
poly,1.0,1.0,1.0,1.0
poly,10.0,1.0,1.0,1.0
poly,100.0,1.0,1.0,1.0
poly,1000.0,1.0,1.0,1.0
poly,10000.0,1.0,1.0,1.0
rbf,1e-05,0.75,0.8,1.0
rbf,0.0001,0.75,0.8,1.0
rbf,0.001,0.75,0.8,1.0
rbf,0.01,0.75,0.8,1.0
rbf,0.1,0.75,0.8,1.0
rbf,1.0,0.9375,0.9875,1.0
rbf,10.0,0.9375,0.9875,1.0
rbf,100.0,0.9375,0.9875,1.0
rbf,1000.0,0.9375,0.9875,1.0
rbf,10000.0,0.9375,0.9875,1.0
